second,Volt
-170.0000E-09,+22.6250003325E-03
-169.5000E-09,+8.8750006398E-03
-169.0000E-09,-1.7499991227E-03
-168.5000E-09,-9.8749989411E-03
-168.0000E-09,-9.8749989411E-03
-167.5000E-09,-5.4999990389E-03
-167.0000E-09,-2.3749991087E-03
-166.5000E-09,+8.8750006400E-03
-166.0000E-09,+79.4999990610E-03
-165.5000E-09,-14.2499988434E-03
-165.0000E-09,-36.1249983543E-03
-164.5000E-09,-16.7499987874E-03
-164.0000E-09,-10.4999989271E-03
-163.5000E-09,-5.4999990389E-03
-163.0000E-09,-1.1249991367E-03
-162.5000E-09,+1.3750008075E-03
-162.0000E-09,+20.7500003744E-03
-161.5000E-09,+15.7500004861E-03
-161.0000E-09,+125.0008354E-06
-160.5000E-09,-8.6249989690E-03
-160.0000E-09,-9.8749989411E-03
-159.5000E-09,-6.7499990109E-03
-159.0000E-09,-6.1249990249E-03
-158.5000E-09,-3.6249990807E-03
-158.0000E-09,+42.6249998855E-03
-157.5000E-09,+44.4999998433E-03
-157.0000E-09,-26.1249985779E-03
-156.5000E-09,-29.8749984940E-03
-156.0000E-09,-15.4999988153E-03
-155.5000E-09,-7.3749989970E-03
-155.0000E-09,-4.8749990528E-03
-154.5000E-09,-1.1249991366E-03
-154.0000E-09,+10.1250006119E-03
-153.5000E-09,+23.2500003185E-03
-153.0000E-09,+13.8750005280E-03
-152.5000E-09,-2.3749991087E-03
-152.0000E-09,-8.6249989690E-03
-151.5000E-09,-9.8749989411E-03
-151.0000E-09,-8.6249989690E-03
-150.5000E-09,-2.9999990947E-03
-150.0000E-09,+2.0000007937E-03
-149.5000E-09,+77.6249991029E-03
-149.0000E-09,-6.1249990250E-03
-148.5000E-09,-38.6249982984E-03
-148.0000E-09,-18.6249987455E-03
-147.5000E-09,-12.3749988852E-03
-147.0000E-09,-7.9999989830E-03
-146.5000E-09,-1.1249991367E-03
-146.0000E-09,+2.0000007935E-03
-145.5000E-09,+17.6250004442E-03
-145.0000E-09,+18.2500004302E-03
-144.5000E-09,+5.1250007236E-03
-144.0000E-09,-4.2499990668E-03
-143.5000E-09,-9.2499989551E-03
-143.0000E-09,-9.8749989411E-03
-142.5000E-09,-7.3749989969E-03
-142.0000E-09,-1.7499991226E-03
-141.5000E-09,+22.0000003466E-03
-141.0000E-09,+63.8749994102E-03
-140.5000E-09,-20.4999987036E-03
-140.0000E-09,-33.6249984102E-03
-139.5000E-09,-14.8749988293E-03
-139.0000E-09,-8.6249989690E-03
-138.5000E-09,-4.2499990668E-03
-138.0000E-09,-2.9999990947E-03
-137.5000E-09,+5.7500007097E-03
-137.0000E-09,+20.7500003744E-03
-136.5000E-09,+13.8750005280E-03
-136.0000E-09,-2.3749991088E-03
-135.5000E-09,-9.2499989551E-03
-135.0000E-09,-12.9999988712E-03
-134.5000E-09,-7.3749989970E-03
-134.0000E-09,-3.6249990808E-03
-133.5000E-09,+750.0008217E-06
-133.0000E-09,+62.6249994382E-03
-132.5000E-09,+17.6250004440E-03
-132.0000E-09,-31.7499984521E-03
-131.5000E-09,-22.3749986617E-03
-131.0000E-09,-13.6249988572E-03
-130.5000E-09,-8.6249989690E-03
-130.0000E-09,-2.9999990947E-03
-129.5000E-09,+1.3750008075E-03
-129.0000E-09,+14.5000005141E-03
-128.5000E-09,+20.1250003883E-03
-128.0000E-09,+9.5000006258E-03
-127.5000E-09,-3.6249990808E-03
-127.0000E-09,-7.9999989830E-03
-126.5000E-09,-8.6249989690E-03
-126.0000E-09,-5.4999990389E-03
-125.5000E-09,-2.9999990947E-03
-125.0000E-09,+11.3750005842E-03
-124.5000E-09,+78.2499990888E-03
-124.0000E-09,-16.7499987875E-03
-123.5000E-09,-39.8749982704E-03
-123.0000E-09,-17.9999987594E-03
-122.5000E-09,-10.4999989271E-03
-122.0000E-09,-9.8749989411E-03
-121.5000E-09,-3.6249990807E-03
-121.0000E-09,+5.1250007237E-03
-120.5000E-09,+23.8750003045E-03
-120.0000E-09,+19.5000004022E-03
-119.5000E-09,+1.3750008074E-03
-119.0000E-09,-7.3749989970E-03
-118.5000E-09,-8.6249989690E-03
-118.0000E-09,-9.8749989411E-03
-117.5000E-09,-6.7499990109E-03
-117.0000E-09,-499.9991504E-06
-116.5000E-09,+42.6249998854E-03
-116.0000E-09,+42.6249998851E-03
-115.5000E-09,-26.1249985779E-03
-115.0000E-09,-28.6249985219E-03
-114.5000E-09,-15.4999988153E-03
-114.0000E-09,-8.6249989690E-03
-113.5000E-09,-3.6249990808E-03
-113.0000E-09,-499.9991506E-06
